source1_entity_id	candidate_entity_ids
S1-714132312	S2-53905212,S2-299460698,S2-369365257,S2-891464674,S2-185992292,S2-470663366,S2-22921534,S2-125262185,S2-620165737,S2-40384887,S2-222958423,S2-299399703,S2-172650395,S2-86458130,S2-249770710,S2-727017825,S2-801866606,S2-977648373,S2-194377317,S2-662886498,S3-346751127,S3-727066311,S3-190683263,S3-399221113,S3-513057872,S3-490903484,S3-365263615,S3-646804097,S3-220672970,S3-840520937,S3-124437490,S3-600764394,S3-975520022,S3-533765245,S3-135477072,S3-650185528,S3-153190870,S3-751695476,S3-329001741,S3-317718252
S1-106407869	S2-591089793,S2-141538102,S2-330252830,S2-189280073,S2-936758787,S2-345680019,S2-711545626,S2-287435648,S2-838997155,S2-957234479,S2-446187533,S2-565787935,S2-219342103,S2-745913971,S2-920706385,S2-745329,S2-993988947,S2-970648067,S2-912163300,S2-348179146,S3-59386541,S3-863094745,S3-619165166,S3-593556662,S3-776024958,S3-332779414,S3-603696293,S3-307198650,S3-991179212,S3-637919093,S3-415590668,S3-245696455,S3-966485001,S3-912771011,S3-949771897,S3-523703645,S3-477845182,S3-279046029,S3-453500822,S3-553963838
S1-156285671	S2-975664547,S2-29400256,S2-916704724,S2-683953111,S2-577026269,S2-134652116,S2-895744526,S2-103992773,S2-914172350,S2-852450007,S2-827762797,S2-749900465,S2-664334744,S2-247139190,S2-983800396,S2-490207678,S2-521338800,S2-567469512,S2-919222729,S2-134956331,S3-764166495,S3-50910381,S3-799655390,S3-405094639,S3-579614028,S3-851471320,S3-729415634,S3-20296760,S3-370893767,S3-2911471,S3-50316458,S3-564274320,S3-799336760,S3-875419370,S3-189273267,S3-636178822,S3-774854286,S3-759071755,S3-411872979,S3-734665607
S1-689823050	S2-122938202,S2-301007505,S2-960946763,S2-945210740,S2-572629757,S2-27691538,S2-7239215,S2-533517462,S2-342660511,S2-54480866,S2-810655587,S2-926001316,S2-607307617,S2-259910747,S2-832136809,S2-910432448,S2-640935794,S2-219381945,S2-709073875,S2-872142796,S3-722928224,S3-719851443,S3-752605084,S3-923698666,S3-381413594,S3-577238317,S3-617903667,S3-556011313,S3-918078165,S3-45664806,S3-439470033,S3-104749678,S3-780920786,S3-466291111,S3-652079282,S3-869281154,S3-345048921,S3-675056246,S3-793054627,S3-129699762
S1-921369899	S2-950797288,S2-884490603,S2-751608124,S2-121301652,S2-402786736,S2-647459821,S2-329405096,S2-105853349,S2-747815181,S2-876513920,S2-382202905,S2-705455824,S2-462781289,S2-108897712,S2-583918262,S2-845276290,S2-7871403,S2-385906219,S2-892636381,S2-75676145,S3-467808121,S3-836930547,S3-626634438,S3-572123749,S3-936553552,S3-283297544,S3-472606005,S3-168496012,S3-186152848,S3-929474627,S3-752003064,S3-353384806,S3-871780423,S3-657947443,S3-418012365,S3-800704771,S3-617979890,S3-263096276,S3-751801930,S3-44497553
S1-481669221	S2-268662251,S2-316275979,S2-151306337,S2-891600450,S2-557969803,S2-3170985,S2-788516193,S2-746347448,S2-878884039,S2-91021671,S2-936976424,S2-48321181,S2-478735617,S2-254629165,S2-915631763,S2-126679610,S2-567227715,S2-164577147,S2-339365830,S2-333048025,S3-368650720,S3-218396865,S3-838114556,S3-176122147,S3-760352668,S3-549972748,S3-853427451,S3-241307377,S3-511384152,S3-572030729,S3-984724675,S3-151188313,S3-116334847,S3-768660371,S3-626553939,S3-840497128,S3-627153369,S3-866811231,S3-407369939,S3-368104334
S1-909865979	S2-832815541,S2-781399463,S2-816546112,S2-484690896,S2-478737337,S2-175283182,S2-913099053,S2-654086044,S2-593069089,S2-3779609,S2-210926944,S2-773792198,S2-637434303,S2-884050157,S2-772467653,S2-817215507,S2-468694681,S2-297350165,S2-687234641,S2-765239042,S3-233733873,S3-586823907,S3-64610730,S3-728767053,S3-594224653,S3-240224037,S3-974741307,S3-856879851,S3-466887907,S3-730123145,S3-975650001,S3-555464166,S3-3244442,S3-282854462,S3-494073751,S3-96982185,S3-550276527,S3-227136413,S3-163606724,S3-693827482
S1-280204013	S2-444182535,S2-296970186,S2-43273550,S2-46967487,S2-175310205,S2-71459752,S2-292953320,S2-947095292,S2-599189531,S2-410936636,S2-278391099,S2-704180517,S2-264036853,S2-755410840,S2-678172062,S2-812280855,S2-600460285,S2-54111755,S2-892040046,S2-643871821,S3-690587555,S3-677190761,S3-653673465,S3-915330451,S3-940783539,S3-851409065,S3-761559565,S3-670319433,S3-308041783,S3-507842583,S3-980337835,S3-254041765,S3-422397477,S3-176169543,S3-760576040,S3-123176030,S3-85598318,S3-575180494,S3-784556058,S3-358120136
S1-742053041	S2-269904958,S2-687425900,S2-235802560,S2-915310050,S2-803248179,S2-7486732,S2-922783961,S2-10504367,S2-621975866,S2-951329252,S2-382293588,S2-519306830,S2-964357556,S2-537184954,S2-916012276,S2-31544111,S2-332758306,S2-919448159,S2-422685953,S2-291851228,S3-634595447,S3-885210293,S3-839849537,S3-530897535,S3-988816331,S3-910889051,S3-377900926,S3-548623628,S3-75299155,S3-629178226,S3-12311181,S3-422903536,S3-205029400,S3-37473473,S3-621672729,S3-491007595,S3-376463977,S3-537034182,S3-515633719,S3-622777782
S1-913506265	S2-229953828,S2-744101407,S2-497869712,S2-973459583,S2-370970630,S2-215800567,S2-928875345,S2-789852704,S2-505570506,S2-480949290,S2-890178948,S2-98990312,S2-747459531,S2-830919961,S2-525148018,S2-529650669,S2-61535084,S2-417743541,S2-187946182,S2-40956435,S3-375299903,S3-222070194,S3-990401455,S3-250403026,S3-323942209,S3-765947654,S3-577767799,S3-196333237,S3-282452546,S3-660592001,S3-314473064,S3-735911553,S3-815268680,S3-952430516,S3-107273061,S3-987015226,S3-587258953,S3-149238440,S3-80876294,S3-553448698
S1-479574617	S2-29065941,S2-380723057,S2-496321012,S2-705169952,S2-111618833,S2-750887377,S2-836654703,S2-407777610,S2-624133172,S2-421649508,S2-125558832,S2-837946438,S2-685396460,S2-498087914,S2-265721609,S2-83964594,S2-634552793,S2-622616547,S2-844502848,S2-488520085,S3-548274349,S3-782282971,S3-694485321,S3-216642521,S3-692457070,S3-549826015,S3-758072581,S3-980845083,S3-690597938,S3-720539650,S3-327641756,S3-595777819,S3-621698790,S3-782363652,S3-760143860,S3-728047690,S3-192361898,S3-452489284,S3-601379705,S3-656646205
